"","anger","anticipation","disgust","fear","joy","sadness","surprise","trust","negative","positive"
"582",0,0,0,0,0,0,1,0,1,0
"583",2,1,0,1,2,0,2,2,2,2
"584",0,1,0,0,1,0,1,1,0,2
"585",1,0,1,1,0,1,1,0,1,0
"586",0,0,0,0,0,0,1,0,0,1
"587",0,0,0,0,0,0,0,0,0,0
"588",0,0,0,0,0,0,0,0,0,0
"589",0,0,0,1,1,0,0,2,0,2
"590",1,0,1,1,0,0,0,1,1,1
"591",0,1,0,1,1,1,0,1,1,1
"592",0,2,1,1,1,1,0,2,2,2
"593",0,0,0,0,0,0,0,0,0,0
"594",0,2,0,1,1,1,0,1,1,1
"595",0,1,0,1,0,0,2,0,1,0
"596",0,2,0,1,1,1,0,1,1,1
"597",0,0,0,0,0,2,1,0,3,0
"598",1,1,1,1,0,2,1,1,2,0
